DHID;ESTE (X);NORTE (Y);COTA (Z);ROCKTYPE;CuT [%]
GRA-1;50014.711;50010.961;301.65;Andesite;0.019
GRA-1;50014.711;50010.961;301.65;Diorite;0.023
GRA-1;50014.711;50010.961;301.65;Diorite;0.005
GRA-1;50014.711;50010.961;301.65;Diorite;0.016
GRA-1;50014.711;50010.961;301.65;Diorite;0.05
GRA-1;50014.711;50010.961;301.65;Magnetite ve;0.13
GRA-1;50014.711;50010.961;301.65;Shear zone;0.072
GRA-1;50014.711;50010.961;301.65;Shear zone;0.059
GRA-1;50014.711;50010.961;301.65;Fault;0.446
GRA-1;50014.711;50010.961;301.65;Shear zone;0.44
GRA-1;50014.711;50010.961;301.65;Shear zone;0.215
GRA-1;50014.711;50010.961;301.65;Shear zone;0.091
GRA-1;50014.711;50010.961;301.65;Fault;0.15
GRA-1;50014.711;50010.961;301.65;Shear zone;0.138
GRA-1;50014.711;50010.961;301.65;Shear zone;0.076
GRA-1;50014.711;50010.961;301.65;Fault;0.065
GRA-1;50014.711;50010.961;301.65;Shear zone;0.542
GRA-1;50014.711;50010.961;301.65;Fault;1.041
GRA-1;50014.711;50010.961;301.65;Shear zone;0.353
GRA-1;50014.711;50010.961;301.65;Shear zone;0.563
GRA-1;50014.711;50010.961;301.65;Shear zone;0.466
GRA-1;50014.711;50010.961;301.65;Shear zone;0.145
GRA-1;50014.711;50010.961;301.65;Shear zone;0.531
GRA-1;50014.711;50010.961;301.65;Shear zone;0.126
GRA-1;50014.711;50010.961;301.65;Shear zone;0.304
GRA-1;50014.711;50010.961;301.65;NONE;-1
LP-001;49998.07;49901.641;296.63;Overburden;0
LP-001;49998.07;49901.641;296.63;Diorite;0.026
LP-001;49998.07;49901.641;296.63;Diorite;0.01
LP-001;49998.07;49901.641;296.63;Diorite;0.02
LP-001;49998.07;49901.641;296.63;Diorite;0.01
LP-001;49998.07;49901.641;296.63;Diorite;0.045
LP-001;49998.07;49901.641;296.63;Shear zone;0.164
LP-001;49998.07;49901.641;296.63;Shear zone;0.148
LP-001;49998.07;49901.641;296.63;Shear zone;0.332
LP-001;49998.07;49901.641;296.63;Shear zone;0.76
LP-001;49998.07;49901.641;296.63;Shear zone;0.248
LP-001;49998.07;49901.641;296.63;Shear zone;0.194
LP-001;49998.07;49901.641;296.63;Shear zone;0.37
LP-001;49998.07;49901.641;296.63;Shear zone;0.16
LP-001;49998.07;49901.641;296.63;Footwall;0.078
LP-001;49998.07;49901.641;296.63;Footwall;0.102
LP-001;49998.07;49901.641;296.63;Footwall;0.11
LP-001;49998.07;49901.641;296.63;Footwall;0.13
LP-001;49998.07;49901.641;296.63;Footwall;0.04
LP-002;50066.969;50101.59;290.88;Overburden;-1
LP-002;50066.969;50101.59;290.88;Overburden;-1
LP-002;50066.969;50101.59;290.88;Overburden;-1
LP-002;50066.969;50101.59;290.88;Overburden;-1
LP-002;50066.969;50101.59;290.88;Shear zone;0.186
LP-002;50066.969;50101.59;290.88;Shear zone;0.226
LP-002;50066.969;50101.59;290.88;Shear zone;0.806
LP-002;50066.969;50101.59;290.88;Shear zone;0.8
LP-002;50066.969;50101.59;290.88;Shear zone;0.188
LP-002;50066.969;50101.59;290.88;Shear zone;0.104
LP-002;50066.969;50101.59;290.88;Shear zone;0.34
LP-002;50066.969;50101.59;290.88;Shear zone;0.19
LP-002;50066.969;50101.59;290.88;Shear zone;0.14
LP-002;50066.969;50101.59;290.88;Shear zone;0.3
LP-002;50066.969;50101.59;290.88;Shear zone;0.043
LP-002;50066.969;50101.59;290.88;Footwall;0.022
LP-002;50066.969;50101.59;290.88;Footwall;0.122
LP-002;50066.969;50101.59;290.88;Footwall;0.018
LP-002;50066.969;50101.59;290.88;Footwall;0.018
LP-002;50066.969;50101.59;290.88;Footwall;0.066
LP-002;50066.969;50101.59;290.88;Footwall;0.044
LP-002;50066.969;50101.59;290.88;Footwall;0.025
LP-003;50105.102;49840.23;296.6;Overburden;0.055
LP-003;50105.102;49840.23;296.6;Footwall;0.152
LP-003;50105.102;49840.23;296.6;Footwall;0.23
LP-003;50105.102;49840.23;296.6;Footwall;0.07
LP-003;50105.102;49840.23;296.6;Diorite;0.214
LP-003;50105.102;49840.23;296.6;Diorite;0.08
LP-003;50105.102;49840.23;296.6;Footwall;0.064
LP-003;50105.102;49840.23;296.6;Footwall;0.054
LP-003;50105.102;49840.23;296.6;Footwall;0.074
LP-003;50105.102;49840.23;296.6;Footwall;0.046
LP-003;50105.102;49840.23;296.6;Footwall;0.422
LP-003;50105.102;49840.23;296.6;Footwall;0.048
LP-003;50105.102;49840.23;296.6;Footwall;0.024
LP-003;50105.102;49840.23;296.6;Footwall;0.022
LP-003;50105.102;49840.23;296.6;Footwall;0.034
LP-003;50105.102;49840.23;296.6;Footwall;0.018
